Boots;;;;;;;;;;;
;Patrizia Pepe;F;Shoes;Boots;Knee-high boots;;Patrizia Pepe-F-Knee-high boots;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730645566&order=newest_first&brand_ids%5B%5D=7125&catalog%5B%5D=211&page=1
;Balenciaga;F;Shoes;Boots;Knee-high boots;;Balenciaga-F-Boots;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730639066&catalog%5B%5D=211&order=newest_first&brand_ids%5B%5D=2369&page=1
;Isabel Marant;F;Shoes;Boots;Knee-high boots;;Isabel Marant-F-Boots;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730218732&order=newest_first&catalog[]=211&brand_ids[]=121&page=1
;Lanvin;F;Shoes;Boots;Knee-high boots;;Lanvin-F-Boots;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730638836&catalog%5B%5D=211&brand_ids%5B%5D=5257&order=newest_first&page=1
;See By Chloé;F;Shoes;Boots;Knee-high boots;;See By Chloé-F-Boots;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730218433&order=newest_first&brand_ids[]=1472883&catalog[]=211&page=1
;Helmut Lang;F;;Boots;;;Helmut Lang-F-Boots;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730975606&catalog[]=1049&brand_ids[]=47829&page=1
All;;;;;;;;;;;
;5351 Pour Les Femmes;F;All;All;;;5351 Pour Les Femmes-F-All;FALSE;FALSE;🔗;https://www.vinted.fr/catalog?brand_ids[]=15514176&disabled_personalization=true&order=relevance&search_start_type=item_page_summary_brand&time=1731261029
;A.F. Vandevorst;F&M;ALL;All;;;A.F. Vandevorst-F&M-All;FALSE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730209967&brand_ids[]=15088881&page=1
;Alessandro De Benedetti;F;All;All;;;Alessandro De Benedetti-F-All;FALSE;FALSE;🔗;https://www.vinted.fr/catalog?brand_ids[]=391345&disabled_personalization=true&order=relevance&search_start_type=item_page_summary_brand&time=1731585582
;Alexander van Slobbe;F;All;All;;;Alexander van Slobbe-F-All;FALSE;FALSE;🔗;https://www.vinted.fr/catalog?search_text=Alexander van Slobbe&time=1731583876
;Andrew Mackenzie;F;All;All;;;Andrew Mackenzie-F-All;FALSE;FALSE;🔗;https://www.vinted.fr/catalog?disabled_personalization=true&order=relevance&search_start_type=item_page_summary_brand&time=1731260830&brand_ids[]=326955&catalog[]=4&page=1
;Anti-Flirt;F;;All;;;Anti-Flirt-F-All;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730919890&catalog[]=1904&brand_ids[]=4201&page=1
;Balenciaga by Ghesquière;F;All;All;;;Balenciaga by Ghesquière-F-All;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?disabled_personalization=true&order=relevance&search_start_type=item_page_summary_brand&time=1731585735&search_text=Ghesquière&catalog[]=4&page=1
;Jean Colonna;F;All;All;;;Jean Colonna-F-All;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?brand_ids[]=612459&disabled_personalization=true&order=relevance&search_start_type=item_page_summary_brand&time=1731260334
;Junya Watanabe;F;All;All;;;Junya Watanabe-F-All;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730650628&order=price_low_to_high&currency=EUR&brand_ids%5B%5D=235040&catalog%5B%5D=1904&page=1
